FID,wkb_geometry,long,lat,vejkode,vejnavn,name,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,reg_metode
cykelstativ.103,POINT (12.573777074616151 55.67096157148954),12.57377707,55.67096157,5340,Otto Mønsteds Plads,Otto Mønsteds Plads cykelstativ.103,Indre By,NO,På plads,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.104,POINT (12.57271885553227 55.671640208145895),12.57271886,55.67164021,168,Anker Heegaards Gade,Anker Heegaards Gade cykelstativ.104,Indre By,NO,Tæt på facade,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Ikke registreret
cykelstativ.105,POINT (12.571243487980976 55.67301696483984),12.57124349,55.67301696,7444,Tietgensgade,Tietgensgade cykelstativ.105,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
cykelstativ.106,POINT (12.571325063384826 55.673072213332816),12.57132506,55.67307221,7444,Tietgensgade,Tietgensgade cykelstativ.106,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
cykelstativ.107,POINT (12.571375289287598 55.673104673406584),12.57137529,55.67310467,7444,Tietgensgade,Tietgensgade cykelstativ.107,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
cykelstativ.108,POINT (12.571607282265632 55.673304369728115),12.57160728,55.67330437,7444,Tietgensgade,Tietgensgade cykelstativ.108,Indre By,NO,Tæt på facade,Enkeltsidet,Skråt 45 grader,30,Ikke registreret,Ikke registreret
cykelstativ.109,POINT (12.5738524868415 55.67258102334675),12.57385249,55.67258102,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.109,Indre By,Smedemodel,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,14,Ikke registreret,Ikke registreret
cykelstativ.110,POINT (12.573864793188186 55.672603114739765),12.57386479,55.67260311,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.110,Indre By,Smedemodel,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Ikke registreret
cykelstativ.111,POINT (12.573743790784176 55.67265813644923),12.57374379,55.67265814,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.111,Indre By,Smedemodel,På fortovsudvidelse,Enkeltsidet,Vinkelret,13,Ikke registreret,Ikke registreret
cykelstativ.112,POINT (12.57165626085847 55.67362346095778),12.57165626,55.67362346,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.112,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.113,POINT (12.571566801388608 55.67367449727847),12.5715668,55.6736745,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.113,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.114,POINT (12.571465442448554 55.673729862498334),12.57146544,55.67372986,148,H.C. Andersens Boulevard,H.C. Andersens Boulevard cykelstativ.114,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.115,POINT (12.560904722682944 55.67849425628175),12.56090472,55.67849426,5128,Nyropsgade,Nyropsgade cykelstativ.115,Indre By,Model 32,På fortov,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Ikke registreret
cykelstativ.116,POINT (12.562131862216747 55.67708168778556),12.56213186,55.67708169,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.116,Indre By,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.117,POINT (12.562408071331486 55.676797547914305),12.56240807,55.67679755,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.117,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.118,POINT (12.561851904502069 55.67751552152417),12.5618519,55.67751552,3540,Kampmannsgade,Kampmannsgade cykelstativ.118,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Ikke registreret
cykelstativ.119,POINT (12.5624689293842 55.67693583589946),12.56246893,55.67693584,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.119,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,10,Ikke registreret,Ikke registreret
cykelstativ.120,POINT (12.562235889199435 55.677289481616505),12.56223589,55.67728948,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.120,Indre By,Model 32,På gadeareal,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Ikke registreret
cykelstativ.121,POINT (12.562499418441522 55.67699468958503),12.56249942,55.67699469,8208,Vester Farimagsgade,Vester Farimagsgade cykelstativ.121,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Ikke registreret
