FID,wkb_geometry,long,lat,name,vejnavn,husnr,address,chargeType,betalingszone,ladestandertype,antal_udtag,operator,bem
elbil_ladestander.1,MULTIPOINT ((12.598284226099 55.676634371546804)),12.59828423,55.67663437,Bodenhoffs Plads elbil_ladestander.1,Bodenhoffs Plads,,Bodenhoffs Plads , ,,,2,,Opstillet 1. juli 2015
elbil_ladestander.2,MULTIPOINT ((12.561984006579376 55.67637674327139)),12.56198401,55.67637674,Vester Farimagsgade elbil_ladestander.2,Vester Farimagsgade,17,Vester Farimagsgade 17,Grøn betalingszone ,Grøn betalingszone,,2,CLEVER,Quick Charge stander
elbil_ladestander.3,MULTIPOINT ((12.599515346298215 55.66496309599651)),12.59951535,55.6649631,Hollænderdybet elbil_ladestander.3,Hollænderdybet,2,Hollænderdybet 2,Blå betalingszone ,Blå betalingszone,,2,E-On,
elbil_ladestander.4,MULTIPOINT ((12.573054534493345 55.67906348898651)),12.57305453,55.67906349,Dyrkøb elbil_ladestander.4,Dyrkøb,3,Dyrkøb 3,Rød betalingszone ,Rød betalingszone,,2,Lets Go/Delebilfonden,ChoosEV
elbil_ladestander.5,MULTIPOINT ((12.573121211720052 55.67907827840602)),12.57312121,55.67907828,Dyrkøb elbil_ladestander.5,Dyrkøb,3,Dyrkøb 3,Rød betalingszone ,Rød betalingszone,,2,E-On,
elbil_ladestander.6,MULTIPOINT ((12.573192976626617 55.679094633371825)),12.57319298,55.67909463,Dyrkøb elbil_ladestander.6,Dyrkøb,3,Dyrkøb 3,Rød betalingszone ,Rød betalingszone,,2,E-On,
elbil_ladestander.7,MULTIPOINT ((12.573259223027174 55.6791111491119)),12.57325922,55.67911115,Dyrkøb elbil_ladestander.7,Dyrkøb,1,Dyrkøb 1,Rød betalingszone ,Rød betalingszone,,2,MoveAbout,
elbil_ladestander.8,MULTIPOINT ((12.573324479616886 55.67912894425247)),12.57332448,55.67912894,Dyrkøb elbil_ladestander.8,Dyrkøb,1,Dyrkøb 1,Rød betalingszone ,Rød betalingszone,,2,MoveAbout,
elbil_ladestander.9,MULTIPOINT ((12.586166468489829 55.699132713610595)),12.58616647,55.69913271,Livjægergade elbil_ladestander.9,Livjægergade,37,Livjægergade 37,Blå betalingszone ,Blå betalingszone,,1,E-On,Opstillet 2. nov. 2011
elbil_ladestander.10,MULTIPOINT ((12.586200623389912 55.69908730777065)),12.58620062,55.69908731,Livjægergade elbil_ladestander.10,Livjægergade,37,Livjægergade 37,Blå betalingszone ,Blå betalingszone,,1,E-On,Opstillet 2. nov. 2011
elbil_ladestander.11,MULTIPOINT ((12.58623468204548 55.69904126769314)),12.58623468,55.69904127,Livjægergade elbil_ladestander.11,Livjægergade,37,Livjægergade 37,Blå betalingszone ,Blå betalingszone,,2,E-On,Opstilet 2. nov. 2011
elbil_ladestander.12,MULTIPOINT ((12.592898567198864 55.67321435687856)),12.59289857,55.67321436,Sankt Annæ Gade elbil_ladestander.12,Sankt Annæ Gade,13,Sankt Annæ Gade 13,Grøn betalingszone ,Grøn betalingszone,,2,E-On,
elbil_ladestander.13,MULTIPOINT ((12.59295935656069 55.673182201215695)),12.59295936,55.6731822,Sankt Annæ Gade elbil_ladestander.13,Sankt Annæ Gade,13,Sankt Annæ Gade 13,Grøn betalingszone ,Grøn betalingszone,,2,E-On,
elbil_ladestander.14,MULTIPOINT ((12.551290967566398 55.70589487612353)),12.55129097,55.70589488,Sigynsgade elbil_ladestander.14,Sigynsgade,64,Sigynsgade 64,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.15,MULTIPOINT ((12.570589839171888 55.69324100512045)),12.57058984,55.69324101,Lundingsgade elbil_ladestander.15,Lundingsgade,1,Lundingsgade 1,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.16,MULTIPOINT ((12.482757005422249 55.66551418351656)),12.48275701,55.66551418,Hansstedvej elbil_ladestander.16,Hansstedvej,18,Hansstedvej 18,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.17,MULTIPOINT ((12.568881399281459 55.70349660227469)),12.5688814,55.7034966,Øster Allé elbil_ladestander.17,Øster Allé,,Øster Allé ,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.18,MULTIPOINT ((12.552231825133966 55.69470635500662)),12.55223183,55.69470636,Asnæsgade elbil_ladestander.18,Asnæsgade,2,Asnæsgade 2,Blå betalingszone ,Blå betalingszone,,2,E-On,
elbil_ladestander.19,MULTIPOINT ((12.552327925642832 55.694728623554816)),12.55232793,55.69472862,Asnæsgade elbil_ladestander.19,Asnæsgade,2,Asnæsgade 2,Blå betalingszone ,Blå betalingszone,,2,E-On,
elbil_ladestander.20,MULTIPOINT ((12.563607795407318 55.68315269298166)),12.5636078,55.68315269,Kjels Langes Gade elbil_ladestander.20,Kjels Langes Gade,8,Kjels Langes Gade 8,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.21,MULTIPOINT ((12.597295962114167 55.68870575795846)),12.59729596,55.68870576,Churchillparken elbil_ladestander.21,Churchillparken,6,Churchillparken 6,Grøn betalingszone ,Grøn betalingszone,,2,E-On,
elbil_ladestander.22,MULTIPOINT ((12.597333293472182 55.688748759436564)),12.59733329,55.68874876,Churchillparken elbil_ladestander.22,Churchillparken,6,Churchillparken 6,Grøn betalingszone ,Grøn betalingszone,,2,E-On,
elbil_ladestander.23,MULTIPOINT ((12.569148311167178 55.70335296865668)),12.56914831,55.70335297,Øster Allé elbil_ladestander.23,Øster Allé,,Øster Allé ,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.24,MULTIPOINT ((12.564862219351886 55.67096548275428)),12.56486222,55.67096548,Reventlowsgade elbil_ladestander.24,Reventlowsgade,30,Reventlowsgade 30,Grøn betalingszone 11kW,Grøn betalingszone,11kW,2,E.On Danmark,Afventer opstilling
