FID,id,name,name_category,category,wkb_geometry,long,lat
stednavn_punkt.fid-361ad8c1_150a94a2aab_-849,0,Københavns Stadsarkiv,14160,Arkiver,POINT (12.569577674965068 55.67562753235746),12.56957767,55.67562753
stednavn_punkt.fid-361ad8c1_150a94a2aab_-848,0,Østerbro Bibliotek,18145,Bibliotek,POINT (12.581745359843794 55.69457326676311),12.58174536,55.69457327
stednavn_punkt.fid-361ad8c1_150a94a2aab_-847,1,Valby Bibliotek,18145,Bibliotek,POINT (12.5131070384209 55.6653427353054),12.51310704,55.66534274
stednavn_punkt.fid-361ad8c1_150a94a2aab_-846,2,Ørestad Bibliotek,18145,Bibliotek,POINT (12.580964243346905 55.63128647629463),12.58096424,55.63128648
stednavn_punkt.fid-361ad8c1_150a94a2aab_-845,3,Blågårdens Bibliotek,18145,Bibliotek,POINT (12.556770109039634 55.68609122692412),12.55677011,55.68609123
stednavn_punkt.fid-361ad8c1_150a94a2aab_-844,4,Nørrebro Bibliotek,18145,Bibliotek,POINT (12.543641614525315 55.6990123375313),12.54364161,55.69901234
stednavn_punkt.fid-361ad8c1_150a94a2aab_-843,5,Øbro Jagtvej Bibliotek,18145,Bibliotek,POINT (12.576494590600904 55.70916603955145),12.57649459,55.70916604
stednavn_punkt.fid-361ad8c1_150a94a2aab_-842,6,Husum Bibliotek,18145,Bibliotek,POINT (12.477235738923248 55.71075510821146),12.47723574,55.71075511
stednavn_punkt.fid-361ad8c1_150a94a2aab_-841,7,Brønshøj Bibliotek,18145,Bibliotek,POINT (12.499257114847524 55.704311905770986),12.49925711,55.70431191
stednavn_punkt.fid-361ad8c1_150a94a2aab_-840,8,Christianshavns Bibliotek,18145,Bibliotek,POINT (12.59212091966293 55.67232124045602),12.59212092,55.67232124
stednavn_punkt.fid-361ad8c1_150a94a2aab_-83f,9,Islands Brygge Bibliotek,18145,Bibliotek,POINT (12.57937591294882 55.666467503403034),12.57937591,55.6664675
stednavn_punkt.fid-361ad8c1_150a94a2aab_-83e,10,Sundby Bibliotek,18145,Bibliotek,POINT (12.603936487981368 55.665203677828174),12.60393649,55.66520368
stednavn_punkt.fid-361ad8c1_150a94a2aab_-83d,11,Kulturstationen Vanløse,18145,Bibliotek,POINT (12.49130887528394 55.68652214248285),12.49130888,55.68652214
stednavn_punkt.fid-361ad8c1_150a94a2aab_-83c,12,Vigerslev Bibliotek,18145,Bibliotek,POINT (12.503313355608507 55.6492308208943),12.50331336,55.64923082
stednavn_punkt.fid-361ad8c1_150a94a2aab_-83b,13,Hovedbiblioteket,18145,Bibliotek,POINT (12.573653234093157 55.68087610562476),12.57365323,55.68087611
stednavn_punkt.fid-361ad8c1_150a94a2aab_-83a,14,Kulturanstalten - Vesterbro Bibliotek,18145,Bibliotek,POINT (12.543715195841289 55.66782679418936),12.5437152,55.66782679
stednavn_punkt.fid-361ad8c1_150a94a2aab_-839,15,Solvang Bibliotek,18145,Bibliotek,POINT (12.595484064660932 55.64872227604868),12.59548406,55.64872228
stednavn_punkt.fid-361ad8c1_150a94a2aab_-838,16,BIBLIOTEKET Rentemestervej,18145,Bibliotek,POINT (12.522916217324196 55.70841203177259),12.52291622,55.70841203
stednavn_punkt.fid-361ad8c1_150a94a2aab_-837,17,Bibliotekshuset,18145,Bibliotek,POINT (12.613150562287347 55.65034949033002),12.61315056,55.65034949
stednavn_punkt.fid-361ad8c1_150a94a2aab_-836,18,Tingbjerg Bibliotek,18145,Bibliotek,POINT (12.48119514014686 55.7188555933771),12.48119514,55.71885559
stednavn_punkt.fid-361ad8c1_150a94a2aab_-835,19,Sydhavnens Bibliotek,18145,Bibliotek,POINT (12.529663800582032 55.646928020969895),12.5296638,55.64692802
