county_number,county_name,municipality_number,municipality_name,postal_code,city_name
1084,Region Hovedstaden,169,Høje-Taastrup Kommune,800,Høje Taastrup
1084,Region Hovedstaden,101,Københavns Kommune,900,København C
1084,Region Hovedstaden,153,Brøndby Kommune,917,Københavns Pakkecent
1084,Region Hovedstaden,101,Københavns Kommune,960,Udland
1084,Region Hovedstaden,101,Københavns Kommune,999,København C
1084,Region Hovedstaden,101,Københavns Kommune,1000,København K
1084,Region Hovedstaden,101,Københavns Kommune,1050,København K
1084,Region Hovedstaden,101,Københavns Kommune,1051,København K
1084,Region Hovedstaden,101,Københavns Kommune,1052,København K
1084,Region Hovedstaden,101,Københavns Kommune,1053,København K
1084,Region Hovedstaden,101,Københavns Kommune,1054,København K
1084,Region Hovedstaden,101,Københavns Kommune,1055,København K
1084,Region Hovedstaden,101,Københavns Kommune,1056,København K
1084,Region Hovedstaden,101,Københavns Kommune,1057,København K
1084,Region Hovedstaden,101,Københavns Kommune,1058,København K
1084,Region Hovedstaden,101,Københavns Kommune,1059,København K
1084,Region Hovedstaden,101,Københavns Kommune,1060,København K
1084,Region Hovedstaden,101,Københavns Kommune,1061,København K
1084,Region Hovedstaden,101,Københavns Kommune,1062,København K
1084,Region Hovedstaden,101,Københavns Kommune,1063,København K
1084,Region Hovedstaden,101,Københavns Kommune,1064,København K
1084,Region Hovedstaden,101,Københavns Kommune,1065,København K
1084,Region Hovedstaden,101,Københavns Kommune,1066,København K
1084,Region Hovedstaden,101,Københavns Kommune,1067,København K
1084,Region Hovedstaden,101,Københavns Kommune,1068,København K
1084,Region Hovedstaden,101,Københavns Kommune,1069,København K
1084,Region Hovedstaden,101,Københavns Kommune,1070,København K
1084,Region Hovedstaden,101,Københavns Kommune,1071,København K
1084,Region Hovedstaden,101,Københavns Kommune,1072,København K
1084,Region Hovedstaden,101,Københavns Kommune,1073,København K
1084,Region Hovedstaden,101,Københavns Kommune,1074,København K
1084,Region Hovedstaden,101,Københavns Kommune,1092,København K
1084,Region Hovedstaden,101,Københavns Kommune,1093,København K
1084,Region Hovedstaden,101,Københavns Kommune,1095,København K
1084,Region Hovedstaden,101,Københavns Kommune,1098,København K
1084,Region Hovedstaden,101,Københavns Kommune,1100,København K
1084,Region Hovedstaden,101,Københavns Kommune,1101,København K
1084,Region Hovedstaden,101,Københavns Kommune,1102,København K
1084,Region Hovedstaden,101,Københavns Kommune,1103,København K
1084,Region Hovedstaden,101,Københavns Kommune,1104,København K
1084,Region Hovedstaden,101,Københavns Kommune,1105,København K
1084,Region Hovedstaden,101,Københavns Kommune,1106,København K
1084,Region Hovedstaden,101,Københavns Kommune,1107,København K
1084,Region Hovedstaden,101,Københavns Kommune,1110,København K
1084,Region Hovedstaden,101,Københavns Kommune,1111,København K
1084,Region Hovedstaden,101,Københavns Kommune,1112,København K
1084,Region Hovedstaden,101,Københavns Kommune,1113,København K
1084,Region Hovedstaden,101,Københavns Kommune,1114,København K
1084,Region Hovedstaden,101,Københavns Kommune,1115,København K
1084,Region Hovedstaden,101,Københavns Kommune,1116,København K
1084,Region Hovedstaden,101,Københavns Kommune,1117,København K
1084,Region Hovedstaden,101,Københavns Kommune,1118,København K
1084,Region Hovedstaden,101,Københavns Kommune,1119,København K
1084,Region Hovedstaden,101,Københavns Kommune,1120,København K
1084,Region Hovedstaden,101,Københavns Kommune,1121,København K
1084,Region Hovedstaden,101,Københavns Kommune,1122,København K
1084,Region Hovedstaden,101,Københavns Kommune,1123,København K
1084,Region Hovedstaden,101,Københavns Kommune,1124,København K
1084,Region Hovedstaden,101,Københavns Kommune,1125,København K
1084,Region Hovedstaden,101,Københavns Kommune,1126,København K
1084,Region Hovedstaden,101,Københavns Kommune,1127,København K
1084,Region Hovedstaden,101,Københavns Kommune,1128,København K
1084,Region Hovedstaden,101,Københavns Kommune,1129,København K
1084,Region Hovedstaden,101,Københavns Kommune,1130,København K
1084,Region Hovedstaden,101,Københavns Kommune,1131,København K
1084,Region Hovedstaden,101,Københavns Kommune,1140,København K
1084,Region Hovedstaden,101,Københavns Kommune,1147,København K
1084,Region Hovedstaden,101,Københavns Kommune,1148,København K
1084,Region Hovedstaden,101,Københavns Kommune,1150,København K
1084,Region Hovedstaden,101,Københavns Kommune,1151,København K
1084,Region Hovedstaden,101,Københavns Kommune,1152,København K
1084,Region Hovedstaden,101,Københavns Kommune,1153,København K
1084,Region Hovedstaden,101,Københavns Kommune,1154,København K
1084,Region Hovedstaden,101,Københavns Kommune,1155,København K
1084,Region Hovedstaden,101,Københavns Kommune,1156,København K
1084,Region Hovedstaden,101,Københavns Kommune,1157,København K
1084,Region Hovedstaden,101,Københavns Kommune,1158,København K
1084,Region Hovedstaden,101,Københavns Kommune,1159,København K
1084,Region Hovedstaden,101,Københavns Kommune,1160,København K
1084,Region Hovedstaden,101,Københavns Kommune,1161,København K
1084,Region Hovedstaden,101,Københavns Kommune,1162,København K
1084,Region Hovedstaden,101,Københavns Kommune,1164,København K
1084,Region Hovedstaden,101,Københavns Kommune,1165,København K
1084,Region Hovedstaden,101,Københavns Kommune,1166,København K
1084,Region Hovedstaden,101,Københavns Kommune,1167,København K
1084,Region Hovedstaden,101,Københavns Kommune,1168,København K
1084,Region Hovedstaden,101,Københavns Kommune,1169,København K
1084,Region Hovedstaden,101,Københavns Kommune,1170,København K
1084,Region Hovedstaden,101,Københavns Kommune,1171,København K
1084,Region Hovedstaden,101,Københavns Kommune,1172,København K
1084,Region Hovedstaden,101,Københavns Kommune,1173,København K
1084,Region Hovedstaden,101,Københavns Kommune,1174,København K
1084,Region Hovedstaden,101,Københavns Kommune,1175,København K
1084,Region Hovedstaden,101,Københavns Kommune,1200,København K
1084,Region Hovedstaden,101,Københavns Kommune,1201,København K
1084,Region Hovedstaden,101,Københavns Kommune,1202,København K
1084,Region Hovedstaden,101,Københavns Kommune,1203,København K
1084,Region Hovedstaden,101,Københavns Kommune,1204,København K
1084,Region Hovedstaden,101,Københavns Kommune,1205,København K
1084,Region Hovedstaden,101,Københavns Kommune,1206,København K
1084,Region Hovedstaden,101,Københavns Kommune,1207,København K
1084,Region Hovedstaden,101,Københavns Kommune,1208,København K
1084,Region Hovedstaden,101,Københavns Kommune,1209,København K
1084,Region Hovedstaden,101,Københavns Kommune,1210,København K
1084,Region Hovedstaden,101,Københavns Kommune,1211,København K
1084,Region Hovedstaden,101,Københavns Kommune,1213,København K
1084,Region Hovedstaden,101,Københavns Kommune,1214,København K
1084,Region Hovedstaden,101,Københavns Kommune,1215,København K
1084,Region Hovedstaden,101,Københavns Kommune,1216,København K
1084,Region Hovedstaden,101,Københavns Kommune,1217,København K
1084,Region Hovedstaden,101,Københavns Kommune,1218,København K
1084,Region Hovedstaden,101,Københavns Kommune,1219,København K
1084,Region Hovedstaden,101,Københavns Kommune,1220,København K
1084,Region Hovedstaden,101,Københavns Kommune,1221,København K
1084,Region Hovedstaden,101,Københavns Kommune,1240,København K
1084,Region Hovedstaden,101,Københavns Kommune,1250,København K
1084,Region Hovedstaden,101,Københavns Kommune,1251,København K
1084,Region Hovedstaden,101,Københavns Kommune,1253,København K
1084,Region Hovedstaden,101,Københavns Kommune,1254,København K
1084,Region Hovedstaden,101,Københavns Kommune,1255,København K
1084,Region Hovedstaden,101,Københavns Kommune,1256,København K
1084,Region Hovedstaden,101,Københavns Kommune,1257,København K
1084,Region Hovedstaden,101,Københavns Kommune,1259,København K
